Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,HCHO,Temp,Wind_U,Wind_V,Fire_Count,AOD,Latitude,Longitude,PM2.5_SubIndex,NO2_column_number_density,SO2_column_number_density,CO_column_number_density,O3_column_number_density,Distance_To_Coast,Elevation
2024-01-28,Ahmedabad,83.05,139.56,20.9,24.35,45.2,17.46,8.39,0.92,14.15,0.0002210977412765,293.9933460146882,0.5073080284650936,-1.0176915900651795,0.0,0.4436348036802171,23.0225,72.5714,176.0,0.0002764177972348,0.000616297294592,0.0515126772225074,0.1262550364588844,206.36,53.0
2024-01-29,Ahmedabad,55.1,95.0,24.16,22.97,47.13,18.16,9.86,0.41,14.27,0.0002320406189033,293.86114555181456,1.1604701031086058,-1.4970355736192804,0.0,0.4436348036802171,23.0225,72.5714,92.0,0.000188789315871,-0.0002458394446876,0.046112868934885,0.1265457570553246,206.36,53.0
2024-01-30,Ahmedabad,72.19,122.89,17.1,22.18,38.05,16.24,11.29,0.82,14.85,0.0003617036415578,294.9597491626592,-0.3479828206143637,-0.8000508981157641,0.0,0.4436348036802171,23.0225,72.5714,139.0,0.0003443536988926,-8.139826240952036e-05,0.0562065465919914,0.1272072941065257,206.36,53.0
2024-01-31,Ahmedabad,70.61,120.74,16.7,23.99,40.65,16.69,3.92,2.15,12.13,0.0003617036415578,295.3971306704736,0.6788822440213934,-0.0848750180976335,2.0,0.4436348036802171,23.0225,72.5714,134.0,0.00015577339218,-8.139826240952036e-05,0.0562065465919914,0.1288263648748825,206.36,53.0
2024-02-01,Ahmedabad,55.12,92.21,16.68,23.96,41.08,16.72,5.75,1.37,13.87,0.0001097813024115,295.3606795081796,1.1770528619603593,-0.7991153630175332,3.0,0.4436348036802171,23.0225,72.5714,92.0,0.0001322338212049,8.112123759931785e-05,0.037380422894948,0.1293752789497805,206.36,53.0
2024-02-02,Ahmedabad,65.9,110.53,21.28,21.9,43.14,17.39,8.8,1.91,13.34,0.0002751838723112,295.6586082221925,-0.7214789094850999,-0.7208953338075977,3.0,0.4436348036802171,23.0225,72.5714,118.0,0.0002223664006218,0.0002421912932927,0.037380422894948,0.1280777666674444,206.36,53.0
2024-02-03,Ahmedabad,84.87,139.23,27.47,25.26,53.0,19.04,9.39,1.88,13.23,0.0001290488933897,296.76304740314333,-1.1283164357030115,-0.1477719240410383,0.0,0.4436348036802171,23.0225,72.5714,182.0,0.000263358936953,0.0003852722809975,0.0467305583186896,0.1241703835849671,206.36,53.0
2024-02-04,Ahmedabad,83.65,141.6,35.26,28.25,61.98,20.97,13.85,1.44,18.47,0.0002797308991611,298.0735270921574,0.6681093929349914,-0.6354818565900934,0.0,0.4436348036802171,23.0225,72.5714,178.0,0.0001214129594254,0.0007813426052169,0.0467305583186896,0.1195542538063022,206.36,53.0
2024-02-05,Ahmedabad,63.46,112.0,35.37,30.42,65.09,21.45,8.94,1.09,16.09,1.605056156183751e-05,296.51316284948535,0.7713114244993343,-1.7723127317058944,0.0,0.4436348036802171,23.0225,72.5714,109.0,8.334970334547547e-05,-0.0003166900423822,0.037731103599084,0.1174670606851968,206.36,53.0
2024-02-06,Ahmedabad,58.05,101.53,25.57,23.89,49.15,18.72,11.22,1.39,16.89,0.0001343131604952,296.5632173996563,-0.1466176971908687,-1.3593325744303624,2.0,0.4436348036802171,23.0225,72.5714,97.0,0.000153367058374,0.0005756582249889,0.037731103599084,0.1119921021163835,206.36,53.0
2024-02-07,Ahmedabad,52.28,92.56,16.09,23.1,39.1,16.7,10.43,1.4,14.99,0.0001625741857986,296.5171145801396,0.4066593702449355,-2.6103369173153426,3.0,0.4436348036802171,23.0225,72.5714,87.0,0.0001553688489366,0.00018306839047,0.037731103599084,0.111613079905547,206.36,53.0
2024-02-08,Ahmedabad,56.08,101.69,7.24,21.52,28.5,14.87,9.23,1.54,18.76,0.0003437633836232,294.37492237534633,-2.229263719662215,-1.9074502702831295,1.0,0.4436348036802171,23.0225,72.5714,93.0,0.0001144761044998,0.00018306839047,0.037731103599084,0.1127912551165001,206.36,53.0
2024-02-09,Ahmedabad,51.85,88.73,4.99,21.82,26.73,14.52,12.64,1.61,20.9,0.0001232707454991,293.92362517719124,-1.7142927776011387,-1.5628245921097983,1.0,0.4436348036802171,23.0225,72.5714,86.0,0.0001883168442873,0.0007015946903268,0.037731103599084,0.1211658492684766,206.36,53.0
2024-02-10,Ahmedabad,53.98,98.05,16.18,31.18,40.12,12.71,9.34,0.99,27.3,-2.4688272934049664e-05,294.36083768504534,-1.565830023713814,-2.163823568543722,1.0,0.4436348036802171,23.0225,72.5714,90.0,0.0001343844778603,0.0001793879637262,0.0369098223745945,0.1145392879844092,206.36,53.0
2024-02-11,Ahmedabad,55.78,100.51,14.22,55.77,64.03,12.71,9.34,0.91,27.95,0.0002325868043288,294.62603508409603,-1.7852585315704343,-2.1511365332344705,5.0,0.4436348036802171,23.0225,72.5714,93.0,0.0001033080407069,-0.0004911580472254,0.0369098223745945,0.1149337887764358,206.36,53.0
